source,term_id,term_name,p_value,intersection_size
GO:BP,GO:0043632,modification-dependent macromolecule catabolic process,4.3795911864736504e-8,111
GO:BP,GO:0006511,ubiquitin-dependent protein catabolic process,4.889084619856241e-8,109
GO:BP,GO:0006996,organelle organization,4.9455455221630715e-8,276
GO:BP,GO:0006119,oxidative phosphorylation,6.138484944636174e-8,38
GO:BP,GO:0140053,mitochondrial gene expression,8.646508778437813e-8,41
GO:BP,GO:0006520,amino acid metabolic process,1.6508758447492743e-7,35
GO:BP,GO:0051205,protein insertion into membrane,1.9513717900079345e-7,19
GO:BP,GO:0010498,proteasomal protein catabolic process,2.0219502672472492e-7,81
GO:BP,GO:0022402,cell cycle process,2.6135371913610516e-7,161
GO:BP,GO:0016567,protein ubiquitination,5.317459456655282e-7,115
GO:BP,GO:0008610,lipid biosynthetic process,5.624644705374701e-7,113
GO:BP,GO:0006790,sulfur compound metabolic process,8.124741081163922e-7,55
GO:BP,GO:0009142,nucleoside triphosphate biosynthetic process,1.0786238217896527e-6,31
GO:BP,GO:0009894,regulation of catabolic process,1.0922871037496945e-6,116
GO:BP,GO:0072521,purine-containing compound metabolic process,1.4544353809432775e-6,95
GO:BP,GO:0051726,regulation of cell cycle,1.77867287498194e-6,112
GO:BP,GO:0072522,purine-containing compound biosynthetic process,2.022426129356772e-6,47
GO:BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,3.2160628631656094e-6,31
GO:BP,GO:0006418,tRNA aminoacylation for protein translation,3.3998016015394666e-6,14
GO:BP,GO:1902600,proton transmembrane transport,3.565578486738571e-6,27
GO:BP,GO:0009117,nucleotide metabolic process,3.5836232289651376e-6,72
GO:BP,GO:0032446,protein modification by small protein conjugation,3.6354162466500777e-6,122
GO:BP,GO:0032543,mitochondrial translation,3.9779807838476235e-6,32
KEGG,KEGG:05012,Parkinson disease,6.409598919170004e-6,23
GO:BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,6.946533368237732e-6,76
GO:BP,GO:0009165,nucleotide biosynthetic process,8.63035907884298e-6,44
GO:BP,GO:0051649,establishment of localization in cell,8.801872879669118e-6,183
GO:BP,GO:0006914,autophagy,8.986719324473982e-6,62
GO:BP,GO:0061919,process utilizing autophagic mechanism,8.986719324473982e-6,62
GO:BP,GO:0043039,tRNA aminoacylation,9.240499500313442e-6,14
GO:BP,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,1.0651056726798025e-5,31
GO:BP,GO:0043038,amino acid activation,1.2650346182193357e-5,14
GO:BP,GO:0042398,modified amino acid biosynthetic process,1.5180901775197982e-5,17
GO:BP,GO:0005975,carbohydrate metabolic process,1.614629432547394e-5,57
GO:BP,GO:0007008,outer mitochondrial membrane organization,1.84892535129637e-5,8
GO:BP,GO:0045040,protein insertion into mitochondrial outer membrane,1.84892535129637e-5,8
GO:BP,GO:0009260,ribonucleotide biosynthetic process,2.1234420502915468e-5,35
GO:BP,GO:0051246,regulation of protein metabolic process,2.4828544686309077e-5,200
GO:BP,GO:0016241,regulation of macroautophagy,2.563457812005989e-5,41
GO:BP,GO:0000070,mitotic sister chromatid segregation,3.217355426065052e-5,36
GO:BP,GO:0043687,post-translational protein modification,3.786860235541229e-5,137
GO:BP,GO:0016236,macroautophagy,4.407760986724919e-5,41
GO:BP,GO:0006575,modified amino acid metabolic process,5.0326316883844576e-5,39
GO:BP,GO:0046390,ribose phosphate biosynthetic process,5.2861043979873685e-5,35
GO:BP,GO:0043412,macromolecule modification,5.314496426013779e-5,300
GO:BP,GO:0006487,protein N-linked glycosylation,5.625908936985097e-5,18
GO:BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,6.511767847309777e-5,28
GO:BP,GO:0044770,cell cycle phase transition,7.350971754404858e-5,77
GO:BP,GO:0007059,chromosome segregation,7.441086057775469e-5,60
